SAMPLE,MSC,Bronchial_Epithelial_cells,Fibroblasts,Endothelial_cells,Adipocytes,Keratinocytes,Schwann_cells,Smooth_muscle_cells,CD34.,Platelets,Monocytes_CD14.CD16.,Monocytes_CD16.CD14.,Macrophage,M1.IFNg.,M2.IL.4.,M.IFNa.,Dendritic_cells_.BDCA1..,Dendritic_cells_.BDCA3..,Dendritic_cells_.plasmacytoid..,T_cells_.CD4..,T_cells_.CD8..,T_cells_.gamma.delta.,NK_cells,Neutrophils,Neutrophils_LPS,B_cells
X01.013.D0,0,0.0018,0.0129,0.0389,0.0128,0.0048,0.0111,0,0.0072,0.0865,0.0184,0.0748,0.0198,0.0415,0.0247,0,0,0.0234,0.0317,0,0.0349,0.0267,0.0157,0.4206,0.0712,0.0206
X01.014.D0,0,0.0125,0.0108,0.0233,0.0092,0.0012,0.0092,0.002,0,0.0601,0.0943,0.0568,0.025,0.0161,0.0319,0,0,0.0189,0.03,0.0569,0.0266,0.0553,0.0167,0.329,0.0588,0.0553
X01.015.D0,0,0.0115,0.0117,0.0281,0.0136,0.0051,0.0146,0.0016,0,0.0886,0.1102,0.0647,0.022,0.0241,0.0423,0,0,0.0239,0.033,0,0.0534,0.0326,0.0181,0.3304,0.0583,0.0121
X01.016.D0,0,0.0054,0.0121,0.0347,0.0109,0.004,0.0094,0.0006,0,0.0753,0.0413,0.0438,0.0272,0.022,0.0259,0,0,0.0222,0.0396,0.0093,0.0333,0.0287,0.0152,0.4247,0.0623,0.0519
X01.016.D2,0,0.0069,0.0125,0.0326,0.0157,0.0015,0.0105,0.0016,0,0.0706,0.0007,0.0705,0.0277,0.0156,0.0303,0,0,0.0208,0.0363,0.0394,0.0194,0.0222,0.0205,0.4113,0.0581,0.0752
X01.016.D4,0,0.0041,0.0111,0.0313,0.0093,0.0033,0.0096,0.002,0.0156,0.0379,0.0817,0.0555,0.0329,0.0162,0.0219,0,0.0019,0.0255,0.0366,0.0531,0.0472,0.0283,0.0035,0.3225,0.0496,0.0994
X01.017.D0,0,0.0086,0.0101,0.024,0.0022,0,0.0149,0.0001,0.0236,0.0358,0.0411,0.0607,0,0.0456,0.0225,0,0.0048,0.0143,0.0434,0.1418,0.0077,0.089,0.0006,0.2195,0.0551,0.1347
X01.017.D4,0,0.0136,0.006,0.0304,0.0098,0.0002,0.0118,0,0.0204,0.0611,0.0589,0.0579,0.0134,0.0269,0.0308,0,0.0114,0.0181,0.0356,0.1153,0.0416,0.0892,0.0306,0.2018,0.045,0.0703
X01.017.D2,0,0.0108,0.0094,0.0298,0.0033,0,0.016,0,0.0202,0.0684,0.0793,0.0661,0.0136,0.0295,0.0369,0,0.0205,0.011,0.043,0.0894,0.0049,0.0915,0.0154,0.1696,0.0511,0.1203
X01.018.D2,0,0.0099,0.0095,0.0313,0.0069,0.0012,0.0152,0.0013,0.0034,0.0549,0.0566,0.078,0.0048,0.0291,0.0458,0,0.0359,0.0062,0.0464,0.0533,0,0.0556,0.0177,0.2319,0.0483,0.1567
X01.018.D4,0,0.0085,0.0092,0.0358,0.0095,0.0023,0.0135,0.0005,0.0007,0.0759,0.0461,0.084,0.0158,0.0281,0.0471,0,0.019,0.0138,0.0461,0.0287,0,0.0596,0.0111,0.293,0.0558,0.0961
X01.018.D0,0,0.0085,0.0058,0.0395,0.0126,0.005,0.0138,0.0036,0,0.0818,0.0733,0.0353,0.0234,0.0194,0.0243,0,0.0147,0.0113,0.0367,0.0158,0,0.0431,0.0384,0.3148,0.0564,0.1222
X01.019.D0,0,0,0.0113,0.0284,0.0032,0,0.01,0.0059,0.0069,0.0616,0,0.0495,0,0.0752,0,0,0,0.0096,0.0522,0.0998,0.0318,0.0537,0,0.3004,0.1197,0.0808
X01.020.D0,0,0.021,0.0116,0.0498,0.0178,0.0065,0.0132,0,0.0045,0.0436,0.2727,0.0888,0.0128,0.0604,0.0631,0.0061,0,0,0.0267,0,0,0.0631,0.0523,0.1185,0.0676,0
X01.020.D2,0,0.021,0.0161,0.0526,0.0126,0.0118,0.0096,0.003,0.011,0.0478,0.1611,0.0476,0.0359,0.0658,0.0403,0,0,0,0.0279,0,0,0.0553,0.0628,0.2551,0.0624,0
X01.021.D4,0,0.0352,0.0071,0.0508,0.0313,0.0097,0.0555,0.0158,0.0196,0.0974,0,0.0503,0.0702,0,0.0148,0.0005,0,0.0124,0.063,0.2467,0,0.0296,0.0574,0.0552,0.0775,0
X01.021.D0,0,0.0154,0.0208,0.0326,0.0079,0,0.0336,0.0003,0.0163,0.0487,0,0.0065,0.0065,0.0527,0.0141,0,0,0.0451,0.0259,0.337,0.0124,0.0543,0.065,0.0877,0.057,0.0602
X01.022.D2,0,0.0098,0.0081,0.0241,0.0064,0.0008,0.0105,0.0057,0,0.0498,0.0421,0.0964,0.0095,0.0295,0.0411,0,0.0246,0.0066,0.0328,0.1198,0,0.0528,0.0257,0.2656,0.0481,0.0902
X01.022.D0,0,0.0036,0.0094,0.025,0.0059,0.0007,0.015,0.0028,0,0.046,0.0432,0.0955,0.0047,0.0353,0.0434,0,0.0322,0.0202,0.0262,0.0945,0.0229,0.0404,0.0147,0.2917,0.0519,0.0747
X02.001.D0,0,0.0111,0.0105,0.0347,0.0114,0.004,0.0118,0,0.0008,0.073,0.099,0.0594,0.0323,0.0138,0.0402,0,0,0.0107,0.0308,0.0759,0.0505,0.0265,0.0107,0.3162,0.059,0.0176
X02.001.D4,0,0.0162,0.0091,0.0336,0.0196,0.0032,0.0086,0,0.0102,0.0695,0.0841,0.055,0.0294,0.0227,0.0315,0,0,0.0141,0.0336,0.0176,0.0368,0.0342,0.0075,0.3707,0.0582,0.0347
X02.001.D2,0,0.0118,0.0094,0.0336,0.0164,0.0002,0.0113,0,0.0164,0.0585,0.0218,0.0686,0.0299,0.0105,0.0323,0,0,0.0197,0.0209,0.0682,0.0387,0.0191,0.0245,0.4106,0.0534,0.0241
X02.002.D2,0,0.0137,0.0129,0.0287,0.006,0,0.0085,0,0.012,0.041,0.0428,0.053,0.0167,0.0203,0.0334,0,0,0.0141,0.0235,0.148,0.0417,0.061,0.0061,0.2831,0.0632,0.0705
X02.002.D0,0,0.0214,0.0076,0.0345,0.0182,0,0.0079,0,0.0119,0.0632,0.1258,0.0372,0.023,0.0213,0.0302,0,0,0,0.0369,0.0364,0.0116,0.0555,0.0305,0.2583,0.079,0.0896
X02.002.D4,0,0.0133,0.0077,0.0287,0.0095,0,0.0082,0,0.0196,0.0618,0.1192,0.05,0.0161,0.0274,0.0315,0,0,0.008,0.0263,0.067,0.0444,0.0573,0.0163,0.2804,0.0604,0.047
X02.003.D0,0,0.0044,0.0113,0.0269,0.0083,0.0017,0.0174,0,0.0173,0.0588,0.061,0.0537,0.0222,0.0148,0.0338,0,0,0.023,0.0345,0.0794,0.0277,0.0454,0.0153,0.302,0.0532,0.0878
X02.003.D2,0,0.0061,0.0107,0.0259,0.0108,0.0003,0.0141,0.0014,0.0186,0.0763,0.0559,0.0629,0.0147,0.0316,0.0296,0,0,0.0248,0.0375,0.0592,0.0174,0.0418,0.013,0.2799,0.05,0.1178
X02.003.D4,0,0.0098,0.0048,0.0289,0.0078,0,0.0135,0.0013,0.0406,0.068,0.0731,0.1,0,0.0816,0,0.0252,0,0.016,0.0502,0.0345,0,0.0436,0,0.2368,0.083,0.0815
X02.004.D4,0,0.0045,0.0059,0.0295,0.0096,0,0.0135,0.0006,0.0092,0.049,0.0834,0.0535,0.0222,0.0302,0.0378,0,0,0.0142,0.037,0.0848,0.0464,0.0641,0.0096,0.3017,0.0602,0.0331
X02.004.D0,0,0.017,0.0063,0.0334,0.0171,0.0006,0.0125,0,0.0118,0.1445,0.1156,0.0428,0.0377,0.0073,0.0396,0,0,0.0177,0.0126,0,0.0192,0.041,0.016,0.3339,0.0587,0.0148
X02.004.D2,0,0.0085,0.0099,0.0404,0.0114,0.0048,0.0144,0,0.0057,0.0854,0.094,0.0657,0.0257,0.0291,0.0495,0,0,0.0166,0.0285,0.0224,0.0129,0.0461,0.0157,0.3451,0.0496,0.0183
X02.005.D0,0,0.0085,0.0101,0.0296,0.0032,0,0.0136,0,0.0277,0.0303,0.0817,0.0576,0.0182,0.0301,0.0113,0,0,0,0.037,0.0865,0.0319,0.1398,0.0053,0.2156,0.0591,0.1027
X02.007.D4,0,0.0039,0.011,0.0266,0.0061,0.0007,0.014,0,0.0161,0.0422,0.2162,0.0444,0.0073,0.0392,0.0466,0,0,0.0125,0.0364,0.1355,0.0562,0.0393,0.0141,0.1722,0.0522,0.0073
X02.007.D2,0,0.011,0.0084,0.0334,0.0146,0.0037,0.0135,0.0018,0.0064,0.0494,0.151,0.0509,0.0208,0.0286,0.0595,0,0,0.0088,0.0362,0.0382,0.0234,0.0276,0.0252,0.3213,0.064,0.0026
X02.007.D0,0,0.0068,0.013,0.0282,0.0075,0.0055,0.0111,0.0028,0.0063,0.057,0.2,0.0544,0.0283,0.013,0.0607,0,0,0.0114,0.0311,0.0558,0.0435,0.0316,0.0168,0.2558,0.0587,0.0007
X02.008.D2,0,0.0109,0.0125,0.0318,0.0149,0.0017,0.0116,0.0002,0.0177,0.0612,0.0263,0.0679,0.0133,0.0285,0.0312,0,0.0063,0.0201,0.0362,0.0463,0.0114,0.0362,0.0123,0.3841,0.0556,0.062
X02.008.D0,0,0.0146,0.0065,0.0301,0.0109,0.0024,0.0135,0.004,0,0.0719,0.1134,0.0522,0.02,0.0294,0.0346,0,0,0.0184,0.0296,0.0091,0.0176,0.0309,0.0155,0.3684,0.0706,0.0364
X02.009.D0,0,0.0132,0.0091,0.0333,0.0129,0.0016,0.0119,0,0.0282,0.0499,0.0693,0.0778,0.0265,0.0166,0.0412,0,0.0057,0.0208,0.0397,0.0442,0.0143,0.0457,0.0151,0.2967,0.0558,0.0704
X02.009.D2,0,0.0068,0.0091,0.0257,0.0093,0,0.0123,0.0012,0.0057,0.0585,0,0.1252,0.0218,0.0224,0.0289,0,0,0.021,0.0284,0.0469,0.0306,0.0588,0.0195,0.3005,0.0741,0.0935
X02.010.D4,0,0.0115,0.0132,0.0264,0.0046,0,0.0126,0,0.0036,0.0492,0,0.0409,0.0262,0.0152,0.027,0,0.0122,0.0224,0.0428,0.1578,0,0.0545,0.0211,0.214,0.0447,0.2001
X02.012.D4,0,0.0113,0.011,0.0255,0.0091,0,0.0138,0,0.0142,0.0427,0.0952,0.058,0.0111,0.0279,0.0387,0,0.0035,0.0286,0.0359,0.1266,0.0202,0.0493,0.034,0.1874,0.0483,0.1077
X02.012.D2,0,0.0043,0.0092,0.0283,0.013,0,0.0103,0,0.0102,0.0504,0.0825,0.0519,0.0143,0.0279,0.0354,0,0,0.0307,0.0308,0.1035,0.0353,0.0532,0.0288,0.2427,0.0497,0.0872
X02.012.D0,0,0.0105,0.0138,0.0235,0.0112,0,0.0126,0,0.0039,0.0568,0.068,0.0386,0.0237,0.0068,0.0265,0,0,0.0169,0.0276,0.1293,0.023,0.0834,0.0368,0.2361,0.0472,0.1039
X02.013.D0,0,0.0066,0.0119,0.0282,0.0008,0,0.0117,0,0.0186,0.0574,0.0415,0.0486,0,0.0734,0,0,0,0.0186,0.0395,0.064,0.0147,0.08,0.0021,0.2964,0.0855,0.1008
